Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-ACN-107405-02-2,0,0.0,0.0,N
LP1Y-ACN-107405-02-3,0,0.0,0.0,N
LP1Y-ACN-107405-02-4,0,0.0,0.0,N
LP1Y-ACN-107405-03-1,11.67,0.0,0.0,N
LP1Y-ACN-107405-04-1,18.37,0.0,0.0,N
LP1Y-ACN-107405-04-2,14.08,0.0,0.0,N
LP1Y-ACN-107405-06-1,16.53,0.0,0.0,N
LP1Y-ACN-107407-01-1,13.84,0.0,0.0,N
LP1Y-ACN-107407-01-2,11.53,0.0,0.0,N
LP1Y-ACN-107407-03-1,1.16,0.0,0.0,N
LP1Y-ACN-107407-03-2,3.16,0.0,0.0,N
LP1Y-ACN-107407-03-3,1.45,0.0,0.0,N
LP1Y-ACN-107407-03-4,14.42,0.0,0.0,N
LP1Y-ACN-107407-03-5,29.23,0.0,0.0,N
LP1Y-ACN-107411-01-1,3.76,0.0,0.0,N
LP1Y-ACN-107411-01-2,3.94,0.0,0.0,N
LP1Y-ACN-107411-01-3,16.22,0.0,0.0,N
LP1Y-ACN-107411-01-4,13.21,0.0,0.0,N
LP1Y-ACN-107416-01-1,21.73,0.0,0.0,N
LP1Y-ACN-107416-04-1,11.13,0.0,0.0,N
LP1Y-ACN-107422-01-1,8.48,0.0,0.0,N
LP1Y-ACN-107422-01-2,12.42,0.0,0.0,N
LP1Y-ACN-107422-03-1,11.59,0.0,0.0,N
LP1Y-ACN-107422-03-2,15.65,0.0,0.0,N
LP1Y-ACN-107422-03-3,25.02,0.0,0.0,N
LP1Y-ACN-108112-01-1,1.26,100.0,80.0,N
LP1Y-ACN-108112-01-1-L1,0,100.0,80.0,N
LP1Y-ACN-108112-01-2,1.7,100.0,80.0,N
LP1Y-ACN-108112-02-1,26.88,33.0,26.4,N
LP1Y-ACN-108112-02-2,3.53,100.0,80.0,N
LP1Y-ACN-108212-01-1,1.26,100.0,80.0,N
LP1Y-ACN-108212-01-1-L1,0,100.0,80.0,N
LP1Y-ACN-108212-01-2,1.7,100.0,80.0,N
LP1Y-ACN-108212-02-1,3.53,100.0,80.0,N
LP1Y-ACN-108212-02-2,26.88,67.0,53.6,N
LP1Y-ACN-111002-05-1,0.99,0.0,0.0,N
LP1Y-ACN-111002-05-2,3.98,0.0,0.0,N
LP1Y-ACN-111002-05-3,27.76,0.0,0.0,N
LP1Y-ACN-111002-06-1,14.79,0.0,0.0,N
LP1Y-ACN-111003-03-1,14.57,0.0,0.0,N
LP1Y-ACN-111003-06-1,5.75,0.0,0.0,N
LP1Y-ACN-111003-06-2,7.58,0.0,0.0,N
LP1Y-ACN-111003-06-3,7.34,0.0,0.0,N
LP1Y-ACN-111003-06-4,2.58,0.0,0.0,N
LP1Y-ACN-111003-07-1,0,0.0,0.0,N
LP1Y-ACN-111003-07-2,1.3,0.0,0.0,N
LP1Y-ACN-111003-07-3,2.9,0.0,0.0,N
LP1Y-ACN-111003-07-4,5.66,0.0,0.0,N
LP1Y-ACN-111003-07-5,2.23,0.0,0.0,N
LP1Y-ACN-111203-01-1,0,0.0,0.0,N
LP1Y-ACN-111203-01-2,5.43,0.0,0.0,N
LP1Y-ACN-111203-01-3,11.24,0.0,0.0,N
LP1Y-ACN-111203-02-1,0,0.0,0.0,N
LP1Y-ACN-111203-02-2,3.93,0.0,0.0,N
LP1Y-ACN-111203-02-3,7.33,0.0,0.0,N
LP1Y-ACN-111205-03-1,8.95,0.0,0.0,N
LP1Y-ACN-111205-03-2,12.91,0.0,0.0,N
LP1Y-ACN-111205-04-1,5.17,0.0,0.0,N
LP1Y-ACN-111205-05-1,4.98,0.0,0.0,N
LP1Y-ACN-111205-06-1,1.23,0.0,0.0,N
LP1Y-ACN-111205-06-2,1.42,0.0,0.0,N
LP1Y-ACN-111205-06-3,4.75,0.0,0.0,N
LP1Y-ACN-111205-07-1,0,0.0,0.0,N
LP1Y-ACN-111205-07-2,4.16,0.0,0.0,N
LP1Y-ACN-111205-07-3,11.79,0.0,0.0,N
LP1Y-ACN-111207-01-1,10.68,0.0,0.0,N
LP1Y-ACN-111207-01-2,15.04,0.0,0.0,N
LP1Y-ACN-111207-03-1,3.95,0.0,0.0,N
LP1Y-ACN-111207-03-2,17.3,0.0,0.0,N
LP1Y-ACN-111207-03-3,20.5,0.0,0.0,N
LP1Y-ACN-111207-04-1,1.64,0.0,0.0,N
LP1Y-ACN-111207-04-2,2.9,0.0,0.0,N
LP1Y-ACN-111207-04-3,1.7,0.0,0.0,N
LP1Y-ACN-111211-01-1,2.28,0.0,0.0,N
LP1Y-ACN-111211-01-2,6.3,0.0,0.0,N
LP1Y-ACN-111211-01-3,16.71,0.0,0.0,N
LP1Y-ACN-111211-03-1,9.32,0.0,0.0,N
LP1Y-ACN-111212-01-1,11.43,0.0,0.0,N
LP1Y-ACN-111212-03-1,3.56,0.0,0.0,N
LP1Y-ACN-111212-03-2,20.4,0.0,0.0,N
LP1Y-ACN-111212-03-3,32.5,0.0,0.0,N
LP1Y-ACN-177301-01-1,0,0.0,0.0,N
LP1Y-ACN-177301-01-2,2.17,0.0,0.0,N
LP1Y-ACN-177301-01-3,5.98,0.0,0.0,N
